latitude,longitude,property,depth,metric,value,unit,transformed_value,transformed_unit
52.53,14.12,bdod,0-5cm,mean,137,cg/cm³,1.37,kg/dm³
52.53,14.12,cec,0-5cm,mean,282,mmol(c)/kg,28.2,cmol(c)/kg
52.53,14.12,cfvo,0-5cm,mean,57,cm³/dm³,5.7,cm³/100cm³
52.53,14.12,clay,0-5cm,mean,97,g/kg,9.7,%
52.53,14.12,nitrogen,0-5cm,mean,6487,cg/kg,64.87,g/kg
52.53,14.12,ocd,0-5cm,mean,377,hg/m³,37.7,kg/m³
52.53,14.12,phh2o,0-5cm,mean,63,pH*10,6.3,pH
52.53,14.12,sand,0-5cm,mean,757,g/kg,75.7,%
52.53,14.12,silt,0-5cm,mean,145,g/kg,14.5,%
52.53,14.12,soc,0-5cm,mean,484,dg/kg,48.4,g/kg
